"","GEOID","Total_Pop_2017"
"1","17031010100",4444
"2","17031010201",7197
"3","17031010202",2487
"4","17031010300",6413
"5","17031010400",5411
"6","17031010501",4081
"7","17031010502",2631
"8","17031010503",2047
"9","17031010600",6515
"10","17031010701",3833
"11","17031010702",5333
"12","17031020100",4208
"13","17031020200",6905
"14","17031020301",5295
"15","17031020302",5023
"16","17031020400",4551
"17","17031020500",6545
"18","17031020601",6130
"19","17031020602",4637
"20","17031020701",1729
"21","17031020702",7843
"22","17031020801",5211
"23","17031020802",7857
"24","17031020901",5807
"25","17031020902",4474
"26","17031030101",3549
"27","17031030102",2766
"28","17031030103",2217
"29","17031030104",3375
"30","17031030200",5103
"31","17031030300",3315
"32","17031030400",2708
"33","17031030500",6570
"34","17031030601",4066
"35","17031030603",2023
"36","17031030604",3225
"37","17031030701",1597
"38","17031030702",982
"39","17031030703",2680
"40","17031030706",4270
"41","17031030800",4376
"42","17031030900",3143
"43","17031031000",4078
"44","17031031100",4666
"45","17031031200",5720
"46","17031031300",8037
"47","17031031400",4958
"48","17031031501",4033
"49","17031031502",4439
"50","17031031700",7001
"51","17031031800",1771
"52","17031031900",2526
"53","17031032100",7117
"54","17031040100",3893
"55","17031040201",7040
"56","17031040202",7194
"57","17031040300",2999
"58","17031040401",3182
"59","17031040402",5035
"60","17031040600",2702
"61","17031040700",3325
"62","17031040800",1813
"63","17031040900",1909
"64","17031050100",2711
"65","17031050200",5214
"66","17031050300",2562
"67","17031050500",6311
"68","17031050600",2238
"69","17031050700",1593
"70","17031050800",1476
"71","17031050900",1462
"72","17031051000",1783
"73","17031051100",1670
"74","17031051200",1623
"75","17031051300",2783
"76","17031051400",1814
"77","17031060100",2773
"78","17031060200",2279
"79","17031060300",3461
"80","17031060400",3980
"81","17031060500",1306
"82","17031060800",4825
"83","17031060900",7529
"84","17031061000",2085
"85","17031061100",1421
"86","17031061200",1897
"87","17031061500",1917
"88","17031061800",1212
"89","17031061901",3513
"90","17031061902",4512
"91","17031062000",3022
"92","17031062100",3740
"93","17031062200",2833
"94","17031062300",1728
"95","17031062400",1433
"96","17031062500",1568
"97","17031062600",2288
"98","17031062700",2770
"99","17031062800",3651
"100","17031062900",3959
"101","17031063000",3249
"102","17031063100",2326
"103","17031063200",7045
"104","17031063301",2588
"105","17031063302",4140
"106","17031063303",1295
"107","17031063400",2274
"108","17031070101",3618
"109","17031070102",2879
"110","17031070103",1587
"111","17031070200",4084
"112","17031070300",3591
"113","17031070400",3228
"114","17031070500",3229
"115","17031070600",3357
"116","17031070700",4440
"117","17031071000",4437
